date q_drain q_overland q_stream q_lake e_drain e_overland e_gully
2013-3-17 13747.2 245707 4.98858 0 0 0 0
2013-3-18 11427 246852 4.8949 0 0 0 0
2013-3-19 7304.78 247969 5.1398 0 0 0 0
2013-3-20 7339.04 249226 5.03255 0 0 0 0
2013-3-21 7347.69 250108 4.99489 0 0 0 0
2013-3-22 7361.44 251402 4.966 0 0 0 0
2013-3-23 7389.25 252294 5.26261 0 0 0 0
2013-3-24 7412.32 253468 4.96931 0 0 0 0
2013-3-25 7433.84 254461 4.92267 0 0 0 0
2013-3-26 7440.13 255702 4.94999 0 0 0 0
2013-3-27 14846 256408 5.17007 0 0 0 0
2013-3-28 12358.4 257865 4.98109 0 0 0 0
2013-3-29 7511.35 258817 5.04385 0 0 0 0
2013-3-30 11774.9 260059 4.95752 0 0 0 0
2013-3-31 10814.4 261205 5.20602 0 0 0 0
2013-4-1 10217.7 262430 5.01638 0 0 0 0
2013-4-2 10250.6 275931 4.99453 0 0 0 0
2013-4-3 9963.18 262382 4.95725 0 0 0 0
2013-4-4 10052.1 271274 5.24919 0 0 0 0
2013-4-5 14304.6 192140 5.01815 0 0 0 0
2013-4-6 11349.7 197388 4.99618 0 0 0 0
2013-4-7 9846.99 377578 4.99964 0 0 0 0
2013-4-8 9474.46 296164 5.22164 0 0 0 0
2013-4-9 9260.36 277153 5.02288 0 0 0 0
2013-4-10 9365.08 270659 5.01574 0 0 0 0
2013-4-11 9239.13 275455 5.14138 0 0 0 0
2013-4-12 9594.37 277315 4.96533 0 0 0 0
2013-4-13 13932.5 204694 5.01607 0 0 0 0
2013-4-14 12056.6 222136 5.04342 0 0 0 0
2013-4-15 20601.2 346027 5.04527 0 0 0 0
2013-4-16 20120.8 304770 5.30893 0 0 0 0
2013-4-17 23736.2 312726 5.06237 0 0 0 0
2013-4-18 30245.5 351475 5.059 0 0 0 0
2013-4-19 31894.5 346465 5.04965 0 0 0 0
2013-4-20 15202.4 209446 5.27098 0 0 0 0
