date Q_m3d source
2012-8-2 12172.1 drain
2012-8-2 28531.9 overland
2012-8-2 3.77764 stream
2012-8-2 0 lake
2012-8-3 10694.7 drain
2012-8-3 43379.2 overland
2012-8-3 3.8564 stream
2012-8-3 0 lake
2012-8-4 26118.3 drain
2012-8-4 118787 overland
2012-8-4 3.80811 stream
2012-8-4 0 lake
2012-8-5 12281.7 drain
2012-8-5 31835.1 overland
2012-8-5 3.92858 stream
2012-8-5 0 lake
2012-8-6 11487 drain
2012-8-6 40870.2 overland
2012-8-6 3.89013 stream
2012-8-6 0 lake
2012-8-7 10572 drain
2012-8-7 32156.2 overland
2012-8-7 3.76194 stream
2012-8-7 0 lake
2012-8-8 18414.7 drain
2012-8-8 68450.1 overland
2012-8-8 3.82661 stream
2012-8-8 0 lake
2012-8-9 11991.3 drain
2012-8-9 43903.8 overland
2012-8-9 3.9144 stream
2012-8-9 0 lake
2012-8-10 11163.2 drain
2012-8-10 42569.1 overland
2012-8-10 3.81656 stream
2012-8-10 0 lake
2012-8-11 15026.6 drain
2012-8-11 51348.7 overland
2012-8-11 3.84448 stream
2012-8-11 0 lake
2012-8-12 11451.3 drain
2012-8-12 44735.1 overland
2012-8-12 3.97018 stream
2012-8-12 0 lake
2012-8-13 10692.8 drain
2012-8-13 49532.9 overland
2012-8-13 3.89588 stream
2012-8-13 0 lake
2012-8-14 9968.72 drain
2012-8-14 49420.2 overland
2012-8-14 3.95612 stream
2012-8-14 0 lake
2012-8-15 9915.14 drain
2012-8-15 47220.4 overland
2012-8-15 3.90864 stream
2012-8-15 0 lake
2012-8-16 9030.51 drain
2012-8-16 52741.2 overland
2012-8-16 3.90398 stream
2012-8-16 0 lake
2012-8-17 8556.25 drain
2012-8-17 49981.1 overland
2012-8-17 3.87724 stream
2012-8-17 0 lake
2012-8-18 8395.3 drain
2012-8-18 50337.4 overland
2012-8-18 4.00256 stream
2012-8-18 0 lake
2012-8-19 12852.8 drain
2012-8-19 61765.1 overland
2012-8-19 3.95179 stream
2012-8-19 0 lake
2012-8-20 12530.3 drain
2012-8-20 52158.9 overland
2012-8-20 3.91668 stream
2012-8-20 0 lake
2012-8-21 10414.1 drain
2012-8-21 50785.2 overland
2012-8-21 4.02902 stream
2012-8-21 0 lake
2012-8-22 11245.3 drain
2012-8-22 55882.1 overland
2012-8-22 3.91699 stream
2012-8-22 0 lake
2012-8-23 9956.23 drain
2012-8-23 50550.9 overland
2012-8-23 4.03725 stream
2012-8-23 0 lake
2012-8-24 11400.5 drain
2012-8-24 59181.6 overland
2012-8-24 3.93542 stream
2012-8-24 0 lake
2012-8-25 9712.22 drain
2012-8-25 52636.8 overland
2012-8-25 3.92773 stream
2012-8-25 0 lake
2012-8-26 14908.9 drain
2012-8-26 69173.5 overland
2012-8-26 3.99076 stream
2012-8-26 0 lake
2012-8-27 17503.5 drain
2012-8-27 86130.5 overland
2012-8-27 4.04861 stream
2012-8-27 0 lake
2012-8-28 13367 drain
2012-8-28 41592.8 overland
2012-8-28 3.98683 stream
2012-8-28 0 lake
2012-8-29 11780.1 drain
2012-8-29 48812.2 overland
2012-8-29 3.9968 stream
2012-8-29 0 lake
2012-8-30 15233.6 drain
2012-8-30 64484.4 overland
2012-8-30 4.0932 stream
2012-8-30 0 lake
2012-8-31 12351 drain
2012-8-31 54218.1 overland
2012-8-31 4.0726 stream
2012-8-31 0 lake
2012-9-1 11152.5 drain
2012-9-1 63361.3 overland
2012-9-1 4.11033 stream
2012-9-1 0 lake
2012-9-2 10400.9 drain
2012-9-2 59260.8 overland
2012-9-2 3.95199 stream
2012-9-2 0 lake
2012-9-3 11565.1 drain
2012-9-3 58966.5 overland
2012-9-3 3.98726 stream
